date_time,close
0,2017-11-17 15:35:08,54.3227
1,2017-11-17 15:40:00,54.3200
2,2017-11-17 15:45:32,54.1900
3,2017-11-17 15:50:07,54.1700
4,2017-11-17 15:55:00,54.1841
5,2017-11-17 16:00:30,54.2650
6,2017-11-17 16:05:52,54.2000
7,2017-11-17 16:10:22,54.1550
8,2017-11-17 16:15:43,54.1900
9,2017-11-17 16:20:07,54.2050
10,2017-11-17 16:25:13,54.2300
11,2017-11-17 16:30:04,54.2200
12,2017-11-17 16:35:32,54.2200
13,2017-11-17 16:40:09,54.2800
14,2017-11-17 16:45:24,54.2400
15,2017-11-17 16:50:28,54.1700
16,2017-11-17 16:55:42,54.1800